set,lvl,end,start,diff,stimulus,ptcp,accuracy
1,12,44739,44221,3.89473684210526,1,2,0
1,13,47113,46592,3.91729323308271,1,2,0
1,14,50586,50048,4.04511278195489,2,2,0
1,15,52781,52266,3.87218045112782,2,2,0
1,16,58090,57585,3.79699248120301,2,2,0
1,17,60239,59760,3.6015037593985,3,2,0
1,18,62813,62376,3.28571428571429,3,2,0
1,19,65379,64852,3.96240601503759,2,2,0
1,20,67822,67378,3.33834586466165,2,2,0
1,21,70742,70292,3.38345864661654,3,2,0
1,22,74816,74347,3.52631578947368,3,2,0
1,23,77681,77051,4.73684210526316,3,2,1
1,24,79926,79461,3.49624060150376,2,2,0
1,25,82668,82174,3.71428571428571,1,2,0
1,26,85327,84823,3.78947368421053,2,2,1
1,27,87491,87046,3.34586466165414,2,2,0
1,28,90199,89633,4.25563909774436,3,2,0
1,29,92872,92341,3.99248120300752,3,2,1
1,30,95266,94661,4.54887218045113,1,2,0
1,31,103406,102872,4.01503759398496,1,2,0
1,32,106105,105644,3.46616541353383,1,2,0
1,33,108391,107946,3.34586466165414,2,2,0
1,34,110864,110359,3.79699248120301,2,2,0
2,0,115453,114997,3.42857142857143,3,2,0
2,1,118031,117482,4.12781954887218,2,2,1
2,2,120137,119699,3.29323308270677,2,2,0
2,3,122768,122257,3.84210526315789,3,2,0
2,4,125325,124884,3.31578947368421,3,2,0
2,5,127615,127123,3.69924812030075,2,2,0
2,6,133855,133401,3.41353383458647,2,2,0
2,7,136355,135918,3.28571428571429,2,2,0
2,8,138595,138139,3.42857142857143,1,2,0
2,9,140731,140292,3.30075187969925,1,2,0
2,10,143220,142769,3.39097744360902,2,2,0
2,11,145948,145449,3.75187969924812,3,2,0
2,12,148131,147698,3.25563909774436,3,2,0
2,13,150342,149893,3.37593984962406,3,2,0
2,14,152563,152113,3.38345864661654,3,2,0
2,15,154871,154438,3.25563909774436,3,2,0
2,16,157069,156622,3.3609022556391,1,2,0
2,17,159397,158965,3.24812030075188,2,2,0
2,18,161534,161096,3.29323308270677,1,2,0
2,19,166238,165808,3.23308270676692,1,2,0
2,20,168528,168096,3.24812030075188,1,2,0
2,21,171125,170690,3.27067669172932,1,2,0
2,22,173939,173440,3.75187969924812,2,2,0
2,23,178175,177700,3.57142857142857,2,2,0
2,25,191229,190799,3.23308270676692,1,2,0
2,26,195332,194757,4.32330827067669,1,2,0
2,27,197665,197044,4.66917293233083,3,2,0
2,28,200278,199524,5.66917293233083,2,2,1
2,29,205499,204950,4.12781954887218,1,2,0
2,30,207976,207524,3.3984962406015,2,2,0
2,31,210211,209774,3.28571428571429,1,2,0
2,32,212467,211994,3.55639097744361,3,2,0
2,33,214741,214229,3.84962406015038,1,2,0
2,34,217109,216367,5.57894736842105,3,2,0
3,0,222178,221724,3.41353383458647,2,2,0
3,1,224547,224118,3.22556390977444,2,2,0
3,2,226681,226251,3.23308270676692,1,2,0
3,3,228899,228474,3.19548872180451,1,2,0
3,4,231028,230597,3.2406015037594,3,2,0
3,5,233251,232796,3.42105263157895,1,2,0
3,6,235440,235009,3.2406015037594,1,2,0
3,9,243587,243132,3.42105263157895,2,2,0
3,10,245884,245450,3.26315789473684,2,2,0
3,11,248040,247612,3.21804511278195,1,2,0
3,14,262029,261573,3.42857142857143,3,2,0
3,15,265193,264763,3.23308270676692,2,2,0
3,16,267325,266902,3.18045112781955,2,2,0
3,17,269368,268937,3.2406015037594,1,2,0
3,18,271661,271196,3.49624060150376,3,2,0
3,19,274358,273886,3.54887218045113,3,2,0
3,20,276587,276164,3.18045112781955,2,2,0
3,21,278645,278215,3.23308270676692,1,2,0
3,22,281369,280940,3.22556390977444,2,2,0
3,23,283804,283370,3.26315789473684,3,2,0
3,24,289706,289278,3.21804511278195,2,2,0
3,25,292052,291622,3.23308270676692,3,2,0
3,26,294269,293839,3.23308270676692,2,2,0
3,27,296437,295992,3.34586466165414,1,2,0
3,28,298533,298098,3.27067669172932,3,2,0
3,29,301161,300726,3.27067669172932,1,2,0
3,30,303968,303537,3.2406015037594,1,2,1
3,31,306191,305760,3.2406015037594,3,2,0
3,32,308418,307934,3.6390977443609,3,2,0
3,33,315092,314662,3.23308270676692,3,2,0
3,34,317567,317128,3.30075187969925,3,2,0
1,1,7116,6590,3.95488721804511,1,3,0
1,2,10052,9286,5.7593984962406,2,3,0
1,3,12664,11968,5.23308270676692,3,3,0
1,4,15375,14671,5.29323308270677,1,3,0
1,5,17906,17246,4.96240601503759,2,3,0
1,6,20701,20243,3.44360902255639,1,3,0
1,7,23262,22805,3.43609022556391,3,3,0
1,8,25796,25029,5.76691729323308,3,3,0
